,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,10:29,Bears,Matt Forte 6 yard rush (Robbie Gould kick),0,7
1,1.0,4:42,Bears,Robbie Gould 43 yard field goal,0,10
2,2.0,14:51,Bears,Robbie Gould 35 yard field goal,0,13
3,2.0,14:15,Bears,Devin Hester 82 yard punt return (Robbie Gould kick),0,20
4,2.0,12:01,Lions,Jason Hanson 29 yard field goal,3,20
5,2.0,1:23,Lions,Jason Hanson 35 yard field goal,6,20
6,3.0,13:16,Bears,Major Wright 24 yard interception return (Robbie Gould kick),6,27
7,3.0,11:24,Bears,Charles Tillman 44 yard interception return (Robbie Gould kick),6,34
8,3.0,6:18,Bears,Robbie Gould 50 yard field goal,6,37
9,4.0,5:00,Lions,Tony Scheffler 10 yard pass from Matthew Stafford (Jason Hanson kick),13,37
