,Quarter,Time,Tm,Detail,SFO,NOR
0,1.0,9:29,49ers,Terrell Owens 4 yard pass from Jeff Garcia (Jose Cortez kick),7,0
1,1.0,3:09,Saints,Deuce McAllister 4 yard pass from Aaron Brooks (John Carney kick),7,7
2,2.0,13:32,49ers,Garrison Hearst 2 yard rush (Jose Cortez kick),14,7
3,2.0,7:10,49ers,Jose Cortez 24 yard field goal,17,7
4,2.0,4:24,Saints,John Carney 46 yard field goal,17,10
5,3.0,7:05,Saints,John Carney 31 yard field goal,17,13
6,3.0,1:10,49ers,Garrison Hearst 8 yard rush (Jose Cortez kick),24,13
7,4.0,12:35,Saints,Joe Horn 10 yard pass from Aaron Brooks,24,19
8,4.0,11:14,Saints,Joe Horn 20 yard pass from Aaron Brooks,24,25
9,4.0,8:39,49ers,Jose Cortez 41 yard field goal,27,25
10,4.0,3:12,Saints,John Carney 22 yard field goal,27,28
11,4.0,1:56,Saints,Aaron Brooks 1 yard rush (John Carney kick),27,35
