,Quarter,Time,Tm,Detail,IND,CIN
0,1.0,8:03,Bengals,Marvin Jones 29 yard pass from Andy Dalton (Mike Nugent kick),0,7
1,2.0,1:06,Bengals,BenJarvus Green-Ellis 1 yard rush (Mike Nugent kick),0,14
2,3.0,10:41,Bengals,BenJarvus Green-Ellis 1 yard rush (Mike Nugent kick),0,21
3,3.0,9:57,Colts,Da'Rick Rogers 69 yard pass from Andrew Luck (Adam Vinatieri kick),7,21
4,3.0,6:20,Colts,LaVon Brazill 19 yard pass from Andrew Luck (Adam Vinatieri kick),14,21
5,3.0,3:05,Bengals,Jermaine Gresham 1 yard pass from Andy Dalton (Mike Nugent kick),14,28
6,4.0,13:25,Bengals,A.J. Green 9 yard pass from Andy Dalton (Mike Nugent kick),14,35
7,4.0,9:48,Colts,LaVon Brazill 29 yard pass from Andrew Luck (Adam Vinatieri kick),21,35
8,4.0,4:03,Bengals,Andy Dalton 8 yard rush (Mike Nugent kick),21,42
9,4.0,1:20,Colts,Da'Rick Rogers 2 yard pass from Andrew Luck (Adam Vinatieri kick),28,42
