,Quarter,Time,Tm,Detail,ARI,DET
0,1.0,11:17,Lions,Roy Williams 7 yard pass from Joey Harrington (Jason Hanson kick),0,7
1,1.0,2:46,Lions,"Safety,",0,9
2,2.0,11:13,Lions,Roy Williams 21 yard pass from Joey Harrington (Jason Hanson kick),0,16
3,2.0,5:33,Cardinals,Neil Rackers 51 yard field goal,3,16
4,2.0,0:00,Lions,Jason Hanson 26 yard field goal,3,19
5,3.0,9:53,Cardinals,J.J. Arrington 1 yard rush (Obafemi Ayanbadejo run),11,19
6,3.0,6:03,Lions,Roy Williams 29 yard pass from Joey Harrington (Jason Hanson kick),11,26
7,4.0,14:09,Cardinals,Neil Rackers 28 yard field goal,14,26
8,4.0,8:35,Lions,Jason Hanson 20 yard field goal,14,29
9,4.0,2:24,Cardinals,Larry Fitzgerald 8 yard pass from Kurt Warner (Neil Rackers kick),21,29
