,Quarter,Time,Tm,Detail,GNB,NOR
0,1.0,8:39,Packers,John Kuhn 1 yard rush (Mason Crosby kick),7,0
1,1.0,8:17,Saints,Lance Moore 70 yard pass from Drew Brees (Garrett Hartley kick),7,7
2,1.0,4:44,Saints,Pierre Thomas 4 yard rush (Garrett Hartley kick),7,14
3,2.0,13:43,Packers,Greg Jennings 7 yard pass from Aaron Rodgers (Mason Crosby kick),14,14
4,2.0,8:19,Saints,Lance Moore 14 yard pass from Drew Brees (Garrett Hartley kick),14,21
5,2.0,1:44,Packers,Aaron Rodgers 10 yard rush (Mason Crosby kick),21,21
6,2.0,0:02,Saints,Garrett Hartley 30 yard field goal,21,24
7,3.0,8:34,Saints,Billy Miller 16 yard pass from Drew Brees (Garrett Hartley kick),21,31
8,3.0,7:32,Saints,Deuce McAllister 3 yard rush (Garrett Hartley kick),21,38
9,3.0,2:26,Saints,Marques Colston 70 yard pass from Drew Brees (Garrett Hartley kick),21,45
10,4.0,11:45,Packers,Ruvell Martin 4 yard pass from Aaron Rodgers (Ruvell Martin pass from Aaron Rodgers ),29,45
11,4.0,8:47,Saints,Pierre Thomas 31 yard rush (run failed),29,51
