,Quarter,Time,Tm,Detail,DET,SFO
0,1.0,12:25,49ers,Vernon Davis 21 yard pass from Alex Smith (David Akers kick),0,7
1,1.0,7:47,Lions,Jason Hanson 38 yard field goal,3,7
2,1.0,6:43,Lions,Jason Hanson 41 yard field goal,6,7
3,2.0,14:57,49ers,Frank Gore 1 yard rush (David Akers kick),6,14
4,3.0,9:42,49ers,David Akers 36 yard field goal,6,17
5,3.0,3:40,Lions,Jason Hanson 40 yard field goal,9,17
6,4.0,14:42,49ers,David Akers 48 yard field goal,9,20
7,4.0,9:16,Lions,Jason Hanson 48 yard field goal,12,20
8,4.0,3:04,49ers,Vernon Davis 23 yard pass from Alex Smith (David Akers kick),12,27
9,4.0,1:29,Lions,Brandon Pettigrew 9 yard pass from Matthew Stafford (Jason Hanson kick),19,27
