,Quarter,Time,Tm,Detail,GNB,NOR
0,1.0,12:57,Packers,Randall Cobb 70 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
1,1.0,9:20,Saints,Brandin Cooks 4 yard rush (Shayne Graham kick),7,7
2,1.0,6:08,Packers,Mason Crosby 31 yard field goal,10,7
3,1.0,1:42,Saints,Shayne Graham 31 yard field goal,10,10
4,2.0,13:08,Packers,Mason Crosby 49 yard field goal,13,10
5,2.0,5:52,Saints,Shayne Graham 29 yard field goal,13,13
6,2.0,1:51,Packers,Mason Crosby 27 yard field goal,16,13
7,2.0,0:00,Saints,Shayne Graham 37 yard field goal,16,16
8,3.0,5:35,Saints,Brandin Cooks 50 yard pass from Drew Brees (Shayne Graham kick),16,23
9,3.0,2:06,Saints,Jimmy Graham 22 yard pass from Drew Brees (Shayne Graham kick),16,30
10,4.0,9:51,Saints,Josh Hill 2 yard pass from Drew Brees (Shayne Graham kick),16,37
11,4.0,5:07,Packers,Aaron Rodgers 14 yard rush (Mason Crosby kick),23,37
12,4.0,3:16,Saints,Mark Ingram 21 yard rush (Shayne Graham kick),23,44
