,Quarter,Time,Tm,Detail,CIN,BAL
0,1.0,9:16,Ravens,Matt Stover 20 yard field goal,0,3
1,2.0,2:25,Bengals,Shayne Graham 41 yard field goal,3,3
2,2.0,0:04,Ravens,Matt Stover 22 yard field goal,3,6
3,3.0,8:13,Ravens,Chester Taylor 1 yard rush (Matt Stover kick),3,13
4,3.0,2:29,Ravens,Chris McAlister 64 yard defensive fumble return (Matt Stover kick),3,20
5,4.0,14:55,Bengals,Chad Johnson 13 yard pass from Carson Palmer (Shayne Graham kick),10,20
6,4.0,10:39,Bengals,Chad Johnson 12 yard pass from Carson Palmer (Shayne Graham kick),17,20
7,4.0,8:34,Ravens,Matt Stover 38 yard field goal,17,23
8,4.0,5:38,Bengals,T.J. Houshmandzadeh 9 yard pass from Carson Palmer (Shayne Graham kick),24,23
9,4.0,1:42,Ravens,Matt Stover 45 yard field goal,24,26
10,4.0,0:00,Bengals,Shayne Graham 24 yard field goal,27,26
