,Quarter,Time,Tm,Detail,GNB,WAS
0,1.0,2:56,Redskins,DeSean Jackson 17 yard pass from Kirk Cousins (Dustin Hopkins kick),0,7
1,2.0,9:27,Packers,Jordy Nelson 13 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
2,2.0,3:37,Packers,Mason Crosby 36 yard field goal,10,7
3,2.0,0:39,Redskins,Robert Kelley 10 yard rush (run failed),10,13
4,3.0,9:23,Redskins,Dustin Hopkins 37 yard field goal,10,16
5,3.0,2:00,Redskins,Jamison Crowder 44 yard pass from Kirk Cousins (run failed),10,22
6,4.0,14:51,Packers,James Starks 31 yard pass from Aaron Rodgers (Mason Crosby kick),17,22
7,4.0,14:25,Redskins,Pierre Garcon 70 yard pass from Kirk Cousins (Dustin Hopkins kick),17,29
8,4.0,10:04,Packers,Jared Cook 6 yard pass from Aaron Rodgers (Mason Crosby kick),24,29
9,4.0,3:54,Redskins,Robert Kelley 1 yard rush (Dustin Hopkins kick failed),24,35
10,4.0,2:26,Redskins,Robert Kelley 4 yard rush (Dustin Hopkins kick),24,42
