,Quarter,Time,Tm,Detail,ATL,GNB
0,1.0,11:13,Packers,James Starks 3 yard rush (Mason Crosby kick),0,7
1,1.0,7:00,Falcons,Steven Jackson 4 yard rush (Matt Bryant kick),7,7
2,2.0,14:55,Packers,Eddie Lacy 1 yard rush (Mason Crosby kick),7,14
3,2.0,7:17,Packers,Mason Crosby 38 yard field goal,7,17
4,2.0,4:20,Packers,Eddie Lacy 1 yard pass from Aaron Rodgers (Mason Crosby kick),7,24
5,2.0,0:24,Packers,Jordy Nelson 10 yard pass from Aaron Rodgers (Mason Crosby kick),7,31
6,3.0,12:35,Falcons,Eric Weems 5 yard pass from Matt Ryan (Matt Bryant kick),14,31
7,3.0,8:20,Falcons,Matt Bryant 50 yard field goal,17,31
8,3.0,3:57,Packers,Mason Crosby 33 yard field goal,17,34
9,4.0,12:33,Falcons,Julio Jones 22 yard pass from Matt Ryan (Matt Bryant kick),24,34
10,4.0,10:38,Packers,Jordy Nelson 60 yard pass from Aaron Rodgers (Mason Crosby kick failed),24,40
11,4.0,6:15,Falcons,Roddy White 1 yard pass from Matt Ryan (run failed),30,40
12,4.0,4:33,Packers,Mason Crosby 53 yard field goal,30,43
13,4.0,2:11,Falcons,Harry Douglas 2 yard pass from Matt Ryan (Matt Bryant kick),37,43
