,Quarter,Time,Tm,Detail,IND,LAR
0,1.0,12:43,Rams,Greg Zuerlein 50 yard field goal,0,3
1,1.0,11:10,Rams,Trumaine Johnson 39 yard interception return (Greg Zuerlein kick),0,10
2,1.0,6:21,Colts,Adam Vinatieri 20 yard field goal,3,10
3,2.0,9:37,Rams,Todd Gurley 5 yard rush (Greg Zuerlein kick),3,17
4,2.0,5:20,Rams,Cooper Kupp 18 yard pass from Jared Goff (Greg Zuerlein kick),3,24
5,2.0,0:17,Rams,Greg Zuerlein 35 yard field goal,3,27
6,3.0,7:23,Rams,Greg Zuerlein 44 yard field goal,3,30
7,3.0,7:15,Rams,Lamarcus Joyner 29 yard interception return (Greg Zuerlein kick),3,37
8,4.0,11:32,Colts,Marlon Mack 3 yard rush (Adam Vinatieri kick failed),9,37
9,4.0,9:18,Rams,"Safety, Jacoby Brissett tackled in end zone by Morgan Fox",9,39
10,4.0,4:28,Rams,Malcolm Brown 3 yard rush (Greg Zuerlein kick),9,46
