,Quarter,Time,Tm,Detail,BAL,DAL
0,1.0,11:05,Cowboys,Tashard Choice 2 yard rush (Nick Folk kick),0,7
1,1.0,6:14,Ravens,Matt Stover 26 yard field goal,3,7
2,2.0,10:54,Ravens,Matt Stover 29 yard field goal,6,7
3,2.0,0:00,Ravens,Matt Stover 37 yard field goal,9,7
4,3.0,2:51,Ravens,Derrick Mason 13 yard pass from Joe Flacco (Matt Stover kick),16,7
5,4.0,11:28,Cowboys,Nick Folk 35 yard field goal,16,10
6,4.0,6:30,Ravens,Matt Stover 35 yard field goal,19,10
7,4.0,3:50,Cowboys,Terrell Owens 7 yard pass from Tony Romo (Nick Folk kick),19,17
8,4.0,3:32,Ravens,Willis McGahee 77 yard rush (Matt Stover kick),26,17
9,4.0,1:36,Cowboys,Jason Witten 21 yard pass from Tony Romo (Nick Folk kick),26,24
10,4.0,1:18,Ravens,Le'Ron McClain 82 yard rush (Matt Stover kick),33,24
