,Quarter,Time,Tm,Detail,CAR,NYG
0,1.0,3:42,Panthers,John Kasay 21 yard field goal,3,0
1,1.0,0:02,Giants,Hakeem Nicks 26 yard pass from Eli Manning (Lawrence Tynes kick),3,7
2,2.0,11:42,Panthers,John Kasay 52 yard field goal,6,7
3,2.0,1:46,Panthers,John Kasay 43 yard field goal,9,7
4,2.0,0:45,Giants,Hakeem Nicks 19 yard pass from Eli Manning (Lawrence Tynes kick),9,14
5,2.0,0:03,Panthers,Steve Smith 19 yard pass from Matt Moore (John Kasay kick),16,14
6,3.0,9:03,Giants,Lawrence Tynes 32 yard field goal,16,17
7,3.0,1:42,Giants,Hakeem Nicks 5 yard pass from Eli Manning (Lawrence Tynes kick),16,24
8,4.0,11:36,Giants,Ahmad Bradshaw 4 yard rush (Lawrence Tynes kick),16,31
9,4.0,3:57,Panthers,"Safety, Greg Hardy blocked Matt Dodge punt out of the end zone.",18,31
