,Quarter,Time,Tm,Detail,NOR,NWE
0,1.0,9:54,Patriots,Stephen Gostkowski 35 yard field goal,0,3
1,1.0,1:46,Saints,Travaris Cadet 3 yard pass from Drew Brees (Garrett Hartley kick),7,3
2,2.0,13:00,Patriots,Stevan Ridley 1 yard rush (Stephen Gostkowski kick),7,10
3,2.0,7:36,Patriots,Stevan Ridley 4 yard rush (Stephen Gostkowski kick),7,17
4,3.0,11:27,Saints,Garrett Hartley 28 yard field goal,10,17
5,3.0,6:19,Saints,Khiry Robinson 3 yard rush (Garrett Hartley kick),17,17
6,3.0,1:36,Patriots,Stephen Gostkowski 54 yard field goal,17,20
7,4.0,8:34,Patriots,Stephen Gostkowski 23 yard field goal,17,23
8,4.0,3:29,Saints,Kenny Stills 34 yard pass from Drew Brees (Garrett Hartley kick),24,23
9,4.0,2:24,Saints,Garrett Hartley 39 yard field goal,27,23
10,4.0,0:05,Patriots,Kenbrell Thompkins 17 yard pass from Tom Brady (Stephen Gostkowski kick),27,30
