,Quarter,Time,Tm,Detail,JAX,IND
0,1.0,11:21,Colts,Austin Collie 7 yard pass from Peyton Manning (Adam Vinatieri kick),0,7
1,2.0,14:13,Jaguars,Josh Scobee 22 yard field goal,3,7
2,2.0,9:51,Colts,Austin Collie 27 yard pass from Peyton Manning (Adam Vinatieri kick),3,14
3,2.0,3:51,Jaguars,Mike Thomas 78 yard punt return (Josh Scobee kick),10,14
4,3.0,12:19,Colts,Donald Brown 43 yard rush (Adam Vinatieri kick),10,21
5,3.0,8:47,Colts,Adam Vinatieri 34 yard field goal,10,24
6,3.0,3:54,Jaguars,Mike Sims-Walker 6 yard pass from David Garrard (Josh Scobee kick),17,24
7,4.0,9:57,Colts,Adam Vinatieri 37 yard field goal,17,27
8,4.0,1:54,Jaguars,Mike Sims-Walker 1 yard pass from David Garrard (Josh Scobee kick),24,27
9,4.0,1:47,Colts,Tyjuan Hagler 41 yard kickoff return (Adam Vinatieri kick),24,34
