,Quarter,Time,Tm,Detail,DEN,CLE
0,1,2:52,Broncos,Brandon McManus 29 yard field goal,3,0
1,2,14:09,Broncos,Aqib Talib 63 yard interception return (Brandon McManus kick),10,0
2,3,11:07,Browns,Gary Barnidge 11 yard pass from Josh McCown (Travis Coons kick),10,7
3,3,2:06,Broncos,Brandon McManus 25 yard field goal,13,7
4,4,13:33,Broncos,Brandon McManus 39 yard field goal,16,7
5,4,9:16,Browns,Gary Barnidge 14 yard pass from Josh McCown (Travis Coons kick),16,14
6,4,8:07,Browns,Karlos Dansby 35 yard interception return (pass failed),16,20
7,4,7:53,Broncos,Emmanuel Sanders 75 yard pass from Peyton Manning (Brandon McManus kick),23,20
8,4,1:30,Browns,Travis Coons 26 yard field goal,23,23
9,OT,4:56,Broncos,Brandon McManus 34 yard field goal,26,23
