,Quarter,Time,Tm,Detail,NYG,MIN
0,1.0,0:08,Vikings,Blair Walsh 32 yard field goal,0,3
1,2.0,11:02,Vikings,Kyle Rudolph 28 yard pass from Teddy Bridgewater (Blair Walsh kick),0,10
2,2.0,8:22,Giants,Josh Brown 27 yard field goal,3,10
3,2.0,4:00,Vikings,Harrison Smith 35 yard interception return (Blair Walsh kick failed),3,16
4,2.0,0:04,Vikings,Blair Walsh 52 yard field goal,3,19
5,3.0,7:35,Vikings,Blair Walsh 22 yard field goal,3,22
6,3.0,6:40,Vikings,Adrian Peterson 2 yard rush (Blair Walsh kick),3,29
7,3.0,1:51,Vikings,Blair Walsh 53 yard field goal,3,32
8,3.0,1:02,Giants,Rueben Randle 72 yard pass from Eli Manning (Josh Brown kick),10,32
9,4.0,13:31,Vikings,Jerick McKinnon 7 yard rush (Blair Walsh kick),10,39
10,4.0,9:34,Vikings,Blair Walsh 27 yard field goal,10,42
11,4.0,3:36,Vikings,Jerick McKinnon 68 yard rush (Blair Walsh kick),10,49
12,4.0,1:54,Giants,Myles White 25 yard pass from Ryan Nassib (Josh Brown kick),17,49
