,Quarter,Time,Tm,Detail,SFO,ARI
0,1,10:28,Cardinals,Larry Fitzgerald 28 yard pass from Kurt Warner (Neil Rackers kick),0,7
1,1,0:36,49ers,Vernon Davis 2 yard pass from Trent Dilfer (Joe Nedney kick),7,7
2,2,11:21,49ers,Joe Nedney 19 yard field goal,10,7
3,2,10:22,49ers,Frank Gore 11 yard rush (Joe Nedney kick),17,7
4,2,5:59,Cardinals,Marcel Shipp 1 yard rush (Neil Rackers kick),17,14
5,2,0:00,Cardinals,Larry Fitzgerald 48 yard pass from Kurt Warner (Neil Rackers kick),17,21
6,3,5:47,49ers,Arnaz Battle 57 yard pass from Trent Dilfer (Joe Nedney kick),24,21
7,4,9:53,Cardinals,Ben Patrick 2 yard pass from Tim Rattay (Neil Rackers kick),24,28
8,4,1:15,49ers,Frank Gore 35 yard rush (Joe Nedney kick),31,28
9,4,0:00,Cardinals,Neil Rackers 19 yard field goal,31,31
10,OT,4:56,49ers,Tully Banta-Cain defensive fumble recovery in end zone,37,31
