,Quarter,Time,Tm,Detail,TAM,NYG
0,1.0,12:43,Giants,Lawrence Tynes 37 yard field goal,0,3
1,1.0,8:42,Buccaneers,Connor Barth 45 yard field goal,3,3
2,1.0,2:54,Giants,Lawrence Tynes 24 yard field goal,3,6
3,2.0,13:48,Buccaneers,Vincent Jackson 29 yard pass from Josh Freeman (Connor Barth kick),10,6
4,2.0,6:19,Buccaneers,Doug Martin 8 yard rush (Connor Barth kick),17,6
5,2.0,1:54,Giants,Hakeem Nicks 23 yard pass from Eli Manning (Lawrence Tynes kick),17,13
6,2.0,0:08,Buccaneers,Eric Wright 60 yard interception return (Connor Barth kick),24,13
7,3.0,13:14,Buccaneers,Connor Barth 52 yard field goal,27,13
8,3.0,0:39,Giants,Lawrence Tynes 36 yard field goal,27,16
9,4.0,12:22,Giants,Lawrence Tynes 24 yard field goal,27,19
10,4.0,6:48,Giants,Victor Cruz 80 yard pass from Eli Manning (Andre Brown run),27,27
11,4.0,3:59,Giants,Martellus Bennett 33 yard pass from Eli Manning (Lawrence Tynes kick),27,34
12,4.0,1:58,Buccaneers,Mike Williams 41 yard pass from Josh Freeman (Connor Barth kick),34,34
13,4.0,0:31,Giants,Andre Brown 2 yard rush (Lawrence Tynes kick),34,41
