,Quarter,Time,Tm,Detail,GNB,DET
0,1.0,12:27,Lions,Az-Zahir Hakim 72 yard punt return (Jason Hanson kick),0,7
1,1.0,7:17,Packers,Marques Anderson 78 yard interception return (Ryan Longwell kick),7,7
2,2.0,14:56,Packers,Donald Driver 21 yard pass from Brett Favre (Ryan Longwell kick),14,7
3,2.0,10:00,Lions,Jason Hanson 33 yard field goal,14,10
4,2.0,5:15,Packers,Ryan Longwell 46 yard field goal,17,10
5,2.0,3:13,Lions,Lamont Warren 39 yard pass from Joey Harrington (Jason Hanson kick),17,17
6,3.0,7:56,Packers,Robert Ferguson 8 yard pass from Brett Favre (Ryan Longwell kick),24,17
7,3.0,1:30,Packers,Bubba Franks 3 yard pass from Brett Favre (Ryan Longwell kick),31,17
8,4.0,10:27,Packers,Ryan Longwell 34 yard field goal,34,17
9,4.0,8:23,Lions,Cory Schlesinger 1 yard rush (Jason Hanson kick),34,24
10,4.0,1:37,Lions,James Stewart 52 yard pass from Joey Harrington (Jason Hanson kick),34,31
11,4.0,1:15,Packers,Ryan Longwell 47 yard field goal,37,31
