,Quarter,Time,Tm,Detail,KAN,SEA
0,1.0,8:55,Seahawks,Chris Carson 4 yard rush (Sebastian Janikowski kick),0,7
1,1.0,6:34,Chiefs,Harrison Butker 54 yard field goal,3,7
2,2.0,11:21,Chiefs,Damien Williams 2 yard pass from Patrick Mahomes (Harrison Butker kick),10,7
3,2.0,5:26,Seahawks,Nick Vannett 1 yard pass from Russell Wilson (Sebastian Janikowski kick),10,14
4,3.0,9:27,Seahawks,Sebastian Janikowski 28 yard field goal,10,17
5,3.0,5:18,Chiefs,Charcandrick West 25 yard pass from Patrick Mahomes (Harrison Butker kick),17,17
6,3.0,0:45,Seahawks,Doug Baldwin 27 yard pass from Russell Wilson (Sebastian Janikowski kick),17,24
7,4.0,10:28,Chiefs,Harrison Butker 29 yard field goal,20,24
8,4.0,7:31,Seahawks,Ed Dickson 2 yard pass from Russell Wilson (Sebastian Janikowski kick),20,31
9,4.0,4:36,Chiefs,Demarcus Robinson 11 yard pass from Patrick Mahomes (Patrick Mahomes run),28,31
10,4.0,2:29,Seahawks,Chris Carson 1 yard rush (Sebastian Janikowski kick),28,38
11,4.0,1:20,Chiefs,Harrison Butker 32 yard field goal,31,38
