,Quarter,Time,Tm,Detail,DEN,IND
0,1.0,11:32,Broncos,Jason Elam 35 yard field goal,3,0
1,1.0,2:19,Broncos,Brandon Marshall 7 yard pass from Jay Cutler (Jason Elam kick),10,0
2,2.0,14:23,Colts,Joseph Addai 14 yard rush (Adam Vinatieri kick),10,7
3,2.0,8:29,Broncos,Jason Elam 22 yard field goal,13,7
4,2.0,3:49,Colts,Dallas Clark 9 yard pass from Peyton Manning (Adam Vinatieri kick),13,14
5,3.0,11:46,Colts,Peyton Manning 1 yard rush (Adam Vinatieri kick),13,21
6,3.0,8:55,Colts,Dallas Clark 3 yard pass from Peyton Manning (Adam Vinatieri kick),13,28
7,3.0,1:10,Broncos,Jay Cutler 2 yard rush (Jason Elam kick),20,28
8,4.0,10:56,Colts,Reggie Wayne 5 yard pass from Peyton Manning (Adam Vinatieri kick),20,35
9,4.0,2:34,Colts,Adam Vinatieri 22 yard field goal,20,38
