,Quarter,Time,Tm,Detail,SDG,KAN
0,1.0,6:21,Chiefs,Kris Wilson 11 yard pass from Damon Huard (Lawrence Tynes kick),0,7
1,1.0,3:17,Chiefs,Eddie Kennison 21 yard pass from Damon Huard (Lawrence Tynes kick),0,14
2,2.0,14:52,Chargers,Nate Kaeding 39 yard field goal,3,14
3,2.0,11:06,Chiefs,Larry Johnson 11 yard rush (Lawrence Tynes kick failed),3,20
4,2.0,4:22,Chargers,Nate Kaeding 31 yard field goal,6,20
5,3.0,9:29,Chargers,Antonio Gates 1 yard pass from Philip Rivers (Nate Kaeding kick),13,20
6,3.0,1:32,Chiefs,Larry Johnson 1 yard rush (Lawrence Tynes kick),13,27
7,4.0,13:16,Chargers,LaDainian Tomlinson 37 yard pass from Philip Rivers (Nate Kaeding kick),20,27
8,4.0,5:10,Chargers,Brandon Manumaleuna 1 yard pass from LaDainian Tomlinson (Nate Kaeding kick),27,27
9,4.0,0:06,Chiefs,Lawrence Tynes 53 yard field goal,27,30
