,Quarter,Time,Tm,Detail,TAM,GNB
0,1.0,2:51,Packers,B.J. Raji 1 yard rush (Mason Crosby kick),0,7
1,2.0,13:44,Packers,Tom Crabtree 5 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2,2.0,12:46,Buccaneers,LeGarrette Blount 54 yard rush (Connor Barth kick),7,14
3,2.0,3:52,Buccaneers,Connor Barth 23 yard field goal,10,14
4,2.0,1:58,Packers,Jordy Nelson 5 yard pass from Aaron Rodgers (Mason Crosby kick),10,21
5,3.0,4:53,Buccaneers,Connor Barth 32 yard field goal,13,21
6,4.0,13:07,Buccaneers,Mike Williams 9 yard pass from Josh Freeman (pass failed),19,21
7,4.0,7:42,Packers,John Kuhn 2 yard rush (Mason Crosby kick),19,28
8,4.0,4:25,Buccaneers,Dezmon Briscoe 2 yard pass from Josh Freeman (Connor Barth kick),26,28
9,4.0,2:55,Packers,Jordy Nelson 40 yard pass from Aaron Rodgers (Mason Crosby kick),26,35
