,Quarter,Time,Tm,Detail,CIN,CLE
0,1.0,7:07,Bengals,Jermaine Gresham 55 yard pass from Andy Dalton (Mike Nugent kick),7,0
1,2.0,14:51,Browns,Josh Gordon 71 yard pass from Brandon Weeden (Phil Dawson kick),7,7
2,2.0,1:54,Bengals,A.J. Green 4 yard pass from Andy Dalton (Mike Nugent kick),14,7
3,3.0,8:25,Browns,Phil Dawson 41 yard field goal,14,10
4,3.0,6:27,Browns,Phil Dawson 38 yard field goal,14,13
5,4.0,14:56,Browns,Montario Hardesty 1 yard rush (Phil Dawson kick),14,20
6,4.0,11:11,Bengals,Mike Nugent 44 yard field goal,17,20
7,4.0,8:00,Browns,Ben Watson 3 yard pass from Brandon Weeden (Phil Dawson kick),17,27
8,4.0,7:50,Browns,Sheldon Brown 19 yard interception return (Phil Dawson kick),17,34
9,4.0,5:21,Bengals,A.J. Green 57 yard pass from Andy Dalton (Mike Nugent kick),24,34
