,Quarter,Time,Tm,Detail,TAM,ATL
0,1.0,10:44,Buccaneers,Matt Bryant 31 yard field goal,3,0
1,1.0,7:03,Buccaneers,Anthony McFarland defensive fumble recovery in end zone (Matt Bryant kick),10,0
2,2.0,8:38,Buccaneers,Matt Bryant 45 yard field goal,13,0
3,2.0,4:31,Falcons,Todd Peterson 31 yard field goal,13,3
4,2.0,0:16,Falcons,T.J. Duckett 1 yard rush (Todd Peterson kick),13,10
5,3.0,9:22,Falcons,Alge Crumpler 4 yard pass from Michael Vick (Todd Peterson kick),13,17
6,3.0,5:32,Buccaneers,Mike Alstott 1 yard rush (Matt Bryant kick),20,17
7,4.0,12:57,Falcons,Todd Peterson 20 yard field goal,20,20
8,4.0,7:36,Falcons,Michael Jenkins 10 yard pass from Michael Vick (Todd Peterson kick),20,27
9,4.0,1:55,Buccaneers,Cadillac Williams 9 yard rush (Matt Bryant kick),27,27
10,4.0,0:42,Buccaneers,Matt Bryant 45 yard field goal,30,27
