,Quarter,Time,Tm,Detail,NYG,DAL
0,1.0,12:01,Giants,Plaxico Burress 50 yard pass from Eli Manning (Jay Feely kick),7,0
1,1.0,3:59,Giants,"Safety,",9,0
2,2.0,11:51,Giants,Jay Feely 31 yard field goal,12,0
3,2.0,3:51,Cowboys,Drew Bledsoe 1 yard rush (Mike Vanderjagt kick),12,7
4,3.0,14:01,Giants,Jeremy Shockey 13 yard pass from Eli Manning (Jay Feely kick),19,7
5,3.0,1:26,Giants,Brandon Jacobs 3 yard rush (Jay Feely kick),26,7
6,4.0,13:01,Cowboys,Terrell Owens 8 yard pass from Tony Romo (Tony Romo run),26,15
7,4.0,3:54,Giants,Jay Feely 32 yard field goal,29,15
8,4.0,2:33,Giants,Kevin Dockery 96 yard interception return (Jay Feely kick),36,15
9,4.0,2:03,Cowboys,Patrick Crayton 53 yard pass from Tony Romo (Mike Vanderjagt kick),36,22
