,Quarter,Time,Tm,Detail,GNB,CIN
0,1.0,9:20,Bengals,Giovani Bernard 3 yard rush (Mike Nugent kick),0,7
1,1.0,9:08,Bengals,BenJarvus Green-Ellis 2 yard rush (Mike Nugent kick),0,14
2,2.0,14:57,Packers,Mason Crosby 41 yard field goal,3,14
3,2.0,11:22,Packers,M.D. Jennings 24 yard defensive fumble return (Mason Crosby kick),10,14
4,2.0,6:32,Packers,Mason Crosby 19 yard field goal,13,14
5,2.0,0:00,Packers,Mason Crosby 26 yard field goal,16,14
6,3.0,11:40,Packers,Johnathan Franklin 2 yard rush (Mason Crosby kick),23,14
7,3.0,5:30,Packers,James Jones 7 yard pass from Aaron Rodgers (Mason Crosby kick),30,14
8,3.0,3:50,Bengals,A.J. Green 20 yard pass from Andy Dalton (Mike Nugent kick),30,21
9,4.0,10:55,Bengals,Marvin Jones 11 yard pass from Andy Dalton (Mike Nugent kick failed),30,27
10,4.0,3:47,Bengals,Reggie Nelson 58 yard fumble return (Mike Nugent kick),30,34
