,Quarter,Time,Tm,Detail,BUF,NYJ
0,1.0,9:29,Bills,Rian Lindell 21 yard field goal,3,0
1,1.0,4:58,Jets,Mike Nugent 49 yard field goal,3,3
2,2.0,14:12,Bills,Rian Lindell 24 yard field goal,6,3
3,2.0,13:31,Jets,Cedric Houston 3 yard rush (Mike Nugent kick),6,10
4,2.0,13:15,Jets,Mark Brown 33 yard interception return (Mike Nugent kick),6,17
5,2.0,3:57,Bills,Eric Moulds 22 yard pass from Kelly Holcomb (Rian Lindell kick),13,17
6,3.0,11:52,Bills,Rian Lindell 52 yard field goal,16,17
7,3.0,5:26,Jets,Mike Nugent 25 yard field goal,16,20
8,3.0,0:36,Bills,Roscoe Parrish 3 yard pass from Kelly Holcomb (Rian Lindell kick),23,20
9,4.0,10:35,Jets,Mike Nugent 34 yard field goal,23,23
10,4.0,6:13,Bills,Rian Lindell 36 yard field goal,26,23
11,4.0,5:58,Jets,Justin Miller 95 yard kickoff return (Mike Nugent kick),26,30
