,Quarter,Time,Tm,Detail,CHI,NYG
0,1,14:14,Giants,Alec Ogletree 8 yard interception return (Aldrick Rosas kick),0,7
1,1,3:28,Bears,Adam Shaheen 2 yard pass from Chase Daniel (Cody Parkey kick),7,7
2,2,3:40,Bears,Akiem Hicks 1 yard rush (Cody Parkey kick),14,7
3,2,0:00,Giants,Aldrick Rosas 57 yard field goal,14,10
4,3,12:49,Giants,Russell Shepard 49 yard pass from Odell Beckham Jr. (Aldrick Rosas kick),14,17
5,3,3:58,Giants,Odell Beckham Jr. 1 yard pass from Eli Manning (Aldrick Rosas kick),14,24
6,4,9:25,Bears,Cody Parkey 36 yard field goal,17,24
7,4,1:49,Giants,Aldrick Rosas 37 yard field goal,17,27
8,4,1:13,Bears,Cody Parkey 21 yard field goal,20,27
9,4,0:00,Bears,Anthony Miller 1 yard pass from Tarik Cohen (Cody Parkey kick),27,27
10,OT,5:57,Giants,Aldrick Rosas 44 yard field goal,27,30
