,Quarter,Time,Tm,Detail,CLE,CIN
0,1.0,14:27,Browns,Steve Heiden 7 yard pass from Kelly Holcomb (Phil Dawson kick),7,0
1,1.0,12:58,Bengals,Kelley Washington 18 yard pass from Carson Palmer (Shayne Graham kick),7,7
2,1.0,10:07,Bengals,Chad Johnson 46 yard pass from Carson Palmer (Shayne Graham kick),7,14
3,1.0,5:14,Browns,Phil Dawson 23 yard field goal,10,14
4,2.0,14:56,Browns,Phil Dawson 29 yard field goal,13,14
5,2.0,6:19,Bengals,T.J. Houshmandzadeh 3 yard pass from Carson Palmer (Shayne Graham kick),13,21
6,2.0,1:17,Bengals,Shayne Graham 21 yard field goal,13,24
7,2.0,0:02,Bengals,Shayne Graham 32 yard field goal,13,27
8,3.0,13:34,Browns,Steve Heiden 20 yard pass from Kelly Holcomb (Phil Dawson kick),20,27
9,3.0,12:05,Bengals,T.J. Houshmandzadeh 53 yard pass from Carson Palmer (Shayne Graham kick),20,34
10,3.0,8:35,Browns,Antonio Bryant 9 yard pass from Kelly Holcomb (Phil Dawson kick),27,34
11,3.0,4:34,Bengals,Rudi Johnson 7 yard rush (Shayne Graham kick),27,41
12,3.0,3:39,Browns,Antonio Bryant 55 yard pass from Kelly Holcomb (Phil Dawson kick),34,41
13,4.0,14:15,Bengals,Shayne Graham 36 yard field goal,34,44
14,4.0,10:51,Browns,William Green 1 yard rush (Phil Dawson kick),41,44
15,4.0,10:22,Browns,Steve Heiden 1 yard pass from Kelly Holcomb (Phil Dawson kick),48,44
16,4.0,6:29,Bengals,Rudi Johnson 7 yard rush (Shayne Graham kick),48,51
17,4.0,1:43,Bengals,Deltha O'Neal 31 yard interception return (Shayne Graham kick),48,58
