,Quarter,Time,Tm,Detail,DEN,GNB
0,1.0,5:22,Broncos,Matt Prater 27 yard field goal,3,0
1,1.0,2:08,Packers,Jordy Nelson 50 yard pass from Aaron Rodgers (Mason Crosby kick),3,7
2,1.0,0:50,Packers,Charles Woodson 30 yard interception return (Mason Crosby kick),3,14
3,2.0,12:18,Packers,Aaron Rodgers 11 yard rush (Mason Crosby kick),3,21
4,2.0,10:27,Broncos,Eric Decker 5 yard pass from Kyle Orton (Matt Prater kick),10,21
5,2.0,3:21,Broncos,Eric Decker 33 yard pass from Kyle Orton (Matt Prater kick),17,21
6,2.0,0:24,Packers,Greg Jennings 17 yard pass from Aaron Rodgers (Mason Crosby kick),17,28
7,3.0,8:26,Packers,Aaron Rodgers 8 yard rush (Mason Crosby kick),17,35
8,3.0,1:12,Packers,James Jones 16 yard pass from Aaron Rodgers (Mason Crosby kick),17,42
9,4.0,7:46,Packers,Donald Driver 8 yard pass from Aaron Rodgers (Mason Crosby kick),17,49
10,4.0,3:02,Broncos,Daniel Fells 7 yard pass from Kyle Orton (run failed),23,49
