,Quarter,Time,Tm,Detail,SDG,DEN
0,1.0,2:57,Broncos,Brandon Lloyd 14 yard pass from Tim Tebow (Stephen Hauschka kick),0,7
1,2.0,13:52,Chargers,Ryan Mathews 27 yard rush (Nate Kaeding kick),7,7
2,2.0,9:59,Chargers,Nate Kaeding 42 yard field goal,10,7
3,2.0,3:45,Chargers,Nate Kaeding 45 yard field goal,13,7
4,2.0,0:09,Chargers,Nate Kaeding 47 yard field goal,16,7
5,3.0,11:10,Chargers,Ryan Mathews 12 yard rush (Nate Kaeding kick),23,7
6,3.0,8:31,Chargers,Nate Kaeding 37 yard field goal,26,7
7,3.0,3:15,Broncos,Eric Decker 6 yard pass from Tim Tebow (Stephen Hauschka kick),26,14
8,4.0,7:55,Chargers,Ryan Mathews 31 yard rush (Nate Kaeding kick),33,14
9,4.0,7:42,Broncos,Cassius Vaughn 97 yard kickoff return (Stephen Hauschka kick),33,21
10,4.0,0:26,Broncos,Tim Tebow 6 yard rush (Stephen Hauschka kick),33,28
