,Quarter,Time,Tm,Detail,OAK,CIN
0,1.0,3:00,Bengals,Tyler Boyd 7 yard pass from Jeff Driskel (Randy Bullock kick),0,7
1,2.0,10:17,Bengals,Joe Mixon 1 yard rush (Randy Bullock kick),0,14
2,2.0,6:41,Bengals,Randy Bullock 34 yard field goal,0,17
3,2.0,3:48,Raiders,Lee Smith 1 yard pass from Derek Carr (Daniel Carlson kick),7,17
4,2.0,1:39,Bengals,Randy Bullock 38 yard field goal,7,20
5,3.0,6:27,Raiders,Daniel Carlson 50 yard field goal,10,20
6,3.0,2:38,Raiders,Daniel Carlson 27 yard field goal,13,20
7,4.0,10:45,Bengals,Randy Bullock 23 yard field goal,13,23
8,4.0,5:05,Raiders,Daniel Carlson 40 yard field goal,16,23
9,4.0,4:04,Bengals,Joe Mixon 15 yard rush (Randy Bullock kick),16,30
