,Quarter,Time,Tm,Detail,SFO,ARI
0,1,2:05,49ers,Robbie Gould 49 yard field goal,3,0
1,2,13:07,Cardinals,Phil Dawson 29 yard field goal,3,3
2,2,7:16,49ers,Robbie Gould 39 yard field goal,6,3
3,2,1:24,Cardinals,Phil Dawson 43 yard field goal,6,6
4,3,10:34,49ers,Robbie Gould 47 yard field goal,9,6
5,3,6:50,Cardinals,Phil Dawson 50 yard field goal,9,9
6,3,2:22,49ers,Robbie Gould 48 yard field goal,12,9
7,4,7:41,Cardinals,Phil Dawson 32 yard field goal,12,12
8,OT,2:24,49ers,Robbie Gould 23 yard field goal,15,12
9,OT,0:32,Cardinals,Larry Fitzgerald 19 yard pass from Carson Palmer,15,18
