,Quarter,Time,Tm,Detail,TAM,ARI
0,1.0,11:52,Cardinals,Adrian Peterson 27 yard rush (Phil Dawson kick),0,7
1,1.0,5:24,Cardinals,Troy Niklas 14 yard pass from Carson Palmer (Phil Dawson kick),0,14
2,2.0,12:04,Cardinals,Larry Fitzgerald 11 yard pass from Carson Palmer (Phil Dawson kick),0,21
3,2.0,5:31,Cardinals,Phil Dawson 28 yard field goal,0,24
4,3.0,11:58,Cardinals,John Brown 17 yard pass from Carson Palmer (Phil Dawson kick),0,31
5,3.0,8:27,Buccaneers,DeSean Jackson 4 yard pass from Ryan Fitzpatrick (run failed),6,31
6,4.0,13:32,Buccaneers,Cameron Brate 10 yard pass from Ryan Fitzpatrick (pass failed),12,31
7,4.0,12:56,Buccaneers,Lavonte David 21 yard fumble return (Doug Martin run),20,31
8,4.0,7:17,Cardinals,Adrian Peterson 1 yard rush (Phil Dawson kick),20,38
9,4.0,3:02,Buccaneers,Doug Martin 1 yard rush (pass failed),26,38
10,4.0,2:02,Buccaneers,Mike Evans 37 yard pass from Ryan Fitzpatrick (Patrick Murray kick),33,38
