,Quarter,Time,Tm,Detail,SDG,PIT
0,1.0,3:06,Chargers,Nick Novak 51 yard field goal,3,0
1,2.0,3:40,Chargers,Danario Alexander 39 yard pass from Philip Rivers (Nick Novak kick),10,0
2,2.0,0:50,Chargers,Nick Novak 39 yard field goal,13,0
3,2.0,0:00,Steelers,Shaun Suisham 49 yard field goal,13,3
4,3.0,5:28,Chargers,Malcom Floyd 3 yard pass from Philip Rivers (Nick Novak kick),20,3
5,3.0,5:16,Chargers,Quentin Jammer defensive fumble recovery in end zone (Nick Novak kick),27,3
6,3.0,2:33,Steelers,Mike Wallace 40 yard pass from Ben Roethlisberger (Shaun Suisham kick),27,10
7,4.0,9:46,Chargers,Danario Alexander 15 yard pass from Philip Rivers (Nick Novak kick),34,10
8,4.0,6:07,Steelers,Mike Wallace 11 yard pass from Ben Roethlisberger (Shaun Suisham kick),34,17
9,4.0,0:58,Steelers,Antonio Brown 1 yard pass from Ben Roethlisberger (Shaun Suisham kick),34,24
