,Quarter,Time,Tm,Detail,DAL,SFO
0,1.0,3:29,49ers,Arnaz Battle 15 yard pass from Tim Rattay (Joe Nedney kick),0,7
1,2.0,8:46,Cowboys,Drew Bledsoe 6 yard rush (Jose Cortez kick failed),6,7
2,2.0,7:43,49ers,Brandon Lloyd 89 yard pass from Tim Rattay (Joe Nedney kick),6,14
3,2.0,6:42,49ers,Tony Parrish 34 yard interception return (Joe Nedney kick),6,21
4,2.0,3:33,Cowboys,Jason Witten 6 yard pass from Drew Bledsoe (pass failed),12,21
5,2.0,0:15,49ers,Joe Nedney 20 yard field goal,12,24
6,3.0,9:24,Cowboys,Julius Jones 1 yard rush (Jose Cortez kick),19,24
7,3.0,0:40,49ers,Brandon Lloyd 13 yard pass from Tim Rattay (Joe Nedney kick),19,31
8,4.0,14:51,Cowboys,Julius Jones 1 yard rush (Jose Cortez kick),26,31
9,4.0,1:51,Cowboys,Keyshawn Johnson 14 yard pass from Drew Bledsoe (Keyshawn Johnson pass from Drew Bledsoe),34,31
