,Quarter,Time,Tm,Detail,NWE,BUF
0,2.0,13:04,Patriots,Tim Wright 1 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
1,2.0,3:52,Bills,Robert Woods 7 yard pass from Kyle Orton (Dan Carpenter kick),7,7
2,2.0,1:43,Patriots,Stephen Gostkowski 42 yard field goal,10,7
3,2.0,0:00,Patriots,Stephen Gostkowski 53 yard field goal,13,7
4,3.0,12:30,Patriots,Brian Tyms 43 yard pass from Tom Brady (Stephen Gostkowski kick),20,7
5,3.0,5:33,Bills,Fred Jackson 1 yard rush (Dan Carpenter kick),20,14
6,3.0,3:08,Patriots,Stephen Gostkowski 40 yard field goal,23,14
7,4.0,8:42,Patriots,Brandon LaFell 18 yard pass from Tom Brady (Stephen Gostkowski kick),30,14
8,4.0,5:58,Bills,Chris Hogan 8 yard pass from Kyle Orton (Robert Woods pass from Kyle Orton),30,22
9,4.0,2:49,Patriots,Brandon LaFell 56 yard pass from Tom Brady (Stephen Gostkowski kick),37,22
