,Quarter,Time,Tm,Detail,ARI,CIN
0,1.0,10:14,Bengals,T.J. Houshmandzadeh 19 yard pass from Carson Palmer (Shayne Graham kick),0,7
1,1.0,3:12,Cardinals,Antrel Rolle 55 yard interception return (Neil Rackers kick),7,7
2,2.0,12:47,Bengals,Shayne Graham 41 yard field goal,7,10
3,2.0,10:58,Cardinals,Anquan Boldin 44 yard pass from Kurt Warner (Neil Rackers kick),14,10
4,2.0,4:28,Bengals,Shayne Graham 38 yard field goal,14,13
5,2.0,0:13,Cardinals,Larry Fitzgerald 5 yard pass from Kurt Warner (Neil Rackers kick),21,13
6,3.0,12:59,Cardinals,Edgerrin James 3 yard rush (Neil Rackers kick),28,13
7,3.0,5:02,Bengals,Chris Henry 37 yard pass from Carson Palmer (Shayne Graham kick),28,20
8,3.0,3:29,Bengals,De Dorsey 19 yard blocked punt return (Shayne Graham kick),28,27
9,3.0,0:25,Cardinals,Antrel Rolle 54 yard interception return (Neil Rackers kick),35,27
