,Quarter,Time,Tm,Detail,ATL,KAN
0,1.0,12:13,Falcons,Jay Feely 19 yard field goal,3,0
1,1.0,8:03,Chiefs,Priest Holmes 15 yard rush (Lawrence Tynes kick),3,7
2,1.0,1:08,Chiefs,Derrick Blaylock 7 yard rush (Lawrence Tynes kick),3,14
3,2.0,7:25,Chiefs,Priest Holmes 2 yard rush (Lawrence Tynes kick),3,21
4,2.0,3:17,Chiefs,Priest Holmes 2 yard rush (Lawrence Tynes kick),3,28
5,2.0,0:00,Chiefs,Priest Holmes 1 yard rush (Lawrence Tynes kick),3,35
6,3.0,12:28,Falcons,Allen Rossum 75 yard punt return (Jay Feely kick),10,35
7,3.0,6:40,Chiefs,Derrick Blaylock 1 yard rush (Lawrence Tynes kick),10,42
8,4.0,14:07,Chiefs,Derrick Blaylock 3 yard rush (Lawrence Tynes kick),10,49
9,4.0,1:59,Chiefs,Derrick Blaylock 2 yard rush (Lawrence Tynes kick),10,56
