,Quarter,Time,Tm,Detail,CIN,NYG
0,1,0:38,Bengals,Shayne Graham 22 yard field goal,3,0
1,2,10:36,Giants,Brandon Jacobs 1 yard rush (John Carney kick),3,7
2,2,7:20,Bengals,Chris Perry 25 yard rush (Shayne Graham kick),10,7
3,2,3:55,Giants,John Carney 24 yard field goal,10,10
4,2,0:32,Bengals,Shayne Graham 30 yard field goal,13,10
5,3,6:23,Giants,John Carney 46 yard field goal,13,13
6,4,11:32,Giants,John Carney 26 yard field goal,13,16
7,4,4:39,Bengals,T.J. Houshmandzadeh 17 yard pass from Carson Palmer (Shayne Graham kick),20,16
8,4,1:50,Giants,Kevin Boss 4 yard pass from Eli Manning (John Carney kick),20,23
9,4,0:00,Bengals,Shayne Graham 21 yard field goal,23,23
10,OT,8:39,Giants,John Carney 22 yard field goal,23,26
