,Quarter,Time,Tm,Detail,CHI,ATL
0,1.0,9:13,Falcons,Jason Elam 29 yard field goal,0,3
1,1.0,0:59,Falcons,Jason Elam 48 yard field goal,0,6
2,2.0,7:49,Falcons,Jason Elam 32 yard field goal,0,9
3,2.0,4:02,Bears,Robbie Gould 36 yard field goal,3,9
4,3.0,10:36,Falcons,Jason Elam 41 yard field goal,3,12
5,3.0,2:24,Bears,Matt Forte 3 yard rush (Robbie Gould kick),10,12
6,4.0,13:25,Falcons,Roddy White 3 yard pass from Matt Ryan (Jason Elam kick),10,19
7,4.0,4:00,Bears,Robbie Gould 32 yard field goal,13,19
8,4.0,0:11,Bears,Rashied Davis 17 yard pass from Kyle Orton (Robbie Gould kick),20,19
9,4.0,0:00,Falcons,Jason Elam 48 yard field goal,20,22
