,Quarter,Time,Tm,Detail,STL,DET
0,1.0,1:57,Rams,Greg Zuerlein 48 yard field goal,3,0
1,2.0,9:26,Lions,Joique Bell 1 yard rush (Jason Hanson kick),3,7
2,2.0,2:35,Rams,Greg Zuerlein 29 yard field goal,6,7
3,2.0,1:28,Rams,Cortland Finnegan 31 yard interception return (Greg Zuerlein kick),13,7
4,2.0,0:20,Lions,Jason Hanson 41 yard field goal,13,10
5,3.0,9:29,Lions,Jason Hanson 45 yard field goal,13,13
6,4.0,9:45,Rams,Brandon Gibson 23 yard pass from Sam Bradford (Greg Zuerlein kick),20,13
7,4.0,7:19,Lions,Kevin Smith 5 yard rush (Jason Hanson kick),20,20
8,4.0,1:55,Rams,Greg Zuerlein 46 yard field goal,23,20
9,4.0,0:10,Lions,Kevin Smith 5 yard pass from Matthew Stafford (Jason Hanson kick),23,27
