,Quarter,Time,Tm,Detail,ATL,STL
0,1.0,9:52,Rams,Michael Hoomanawanui 25 yard pass from Sam Bradford (Josh Brown kick),0,7
1,1.0,3:13,Falcons,Matt Bryant 42 yard field goal,3,7
2,2.0,14:14,Rams,Josh Brown 53 yard field goal,3,10
3,2.0,12:27,Falcons,Brian Finneran 12 yard pass from Matt Ryan (Matt Bryant kick),10,10
4,2.0,7:01,Falcons,Matt Bryant 29 yard field goal,13,10
5,2.0,0:32,Falcons,Matt Bryant 24 yard field goal,16,10
6,3.0,11:56,Rams,Brandon Gibson 13 yard pass from Sam Bradford (Josh Brown kick),16,17
7,3.0,2:01,Falcons,Justin Peelle 2 yard pass from Matt Ryan (Matt Bryant kick),23,17
8,4.0,7:57,Falcons,Matt Bryant 21 yard field goal,26,17
9,4.0,1:52,Falcons,Michael Turner 39 yard rush (Roddy White pass from Matt Ryan),34,17
