,Quarter,Time,Tm,Detail,MIN,GNB
0,1,4:59,Packers,Scott Tolzien 6 yard rush (Mason Crosby kick),0,7
1,1,1:37,Vikings,Blair Walsh 36 yard field goal,3,7
2,2,4:24,Vikings,Blair Walsh 47 yard field goal,6,7
3,2,0:50,Vikings,Adrian Peterson 1 yard rush (Blair Walsh kick),13,7
4,3,8:22,Vikings,Rhett Ellison 12 yard pass from Christian Ponder (Blair Walsh kick),20,7
5,4,14:22,Vikings,Blair Walsh 29 yard field goal,23,7
6,4,11:42,Packers,Eddie Lacy 3 yard rush (pass failed),23,13
7,4,3:30,Packers,Jarrett Boykin 6 yard pass from Matt Flynn (Mason Crosby kick),23,20
8,4,0:46,Packers,Mason Crosby 27 yard field goal,23,23
9,OT,10:25,Packers,Mason Crosby 20 yard field goal,23,26
10,OT,3:49,Vikings,Blair Walsh 35 yard field goal,26,26
