,Quarter,Time,Tm,Detail,GNB,DAL
0,1.0,10:56,Cowboys,Dan Bailey 47 yard field goal,0,3
1,1.0,7:40,Packers,Mason Crosby 57 yard field goal,3,3
2,1.0,4:52,Cowboys,Dan Bailey 23 yard field goal,3,6
3,1.0,0:28,Cowboys,Jason Witten 25 yard pass from Tony Romo (Dan Bailey kick),3,13
4,2.0,5:54,Cowboys,Dan Bailey 43 yard field goal,3,16
5,2.0,3:45,Cowboys,Dan Bailey 50 yard field goal,3,19
6,2.0,0:24,Cowboys,DeMarco Murray 1 yard rush (Dan Bailey kick),3,26
7,3.0,13:08,Packers,Jordy Nelson 13 yard pass from Matt Flynn (Mason Crosby kick),10,26
8,3.0,6:33,Cowboys,Dan Bailey 50 yard field goal,10,29
9,3.0,1:09,Packers,Andrew Quarless 3 yard pass from Matt Flynn (Mason Crosby kick),17,29
10,4.0,12:47,Packers,James Starks 11 yard pass from Matt Flynn (Mason Crosby kick),24,29
11,4.0,7:55,Cowboys,Dez Bryant 5 yard pass from Tony Romo (Dan Bailey kick),24,36
12,4.0,4:17,Packers,James Jones 3 yard pass from Matt Flynn (Mason Crosby kick),31,36
13,4.0,1:31,Packers,Eddie Lacy 1 yard rush (pass failed),37,36
