,Quarter,Time,Tm,Detail,NYJ,PHI
0,1.0,8:53,Eagles,Juqua Parker 47 yard defensive fumble return (Alex Henery kick),0,7
1,1.0,2:05,Eagles,Brent Celek 26 yard pass from Michael Vick (Alex Henery kick),0,14
2,2.0,12:18,Eagles,Michael Vick 11 yard rush (Alex Henery kick),0,21
3,2.0,9:57,Eagles,LeSean McCoy 9 yard rush (Alex Henery kick),0,28
4,2.0,6:27,Jets,Nick Folk 39 yard field goal,3,28
5,2.0,4:42,Jets,Santonio Holmes 25 yard pass from Mark Sanchez (Nick Folk kick),10,28
6,2.0,0:46,Jets,Nick Folk 28 yard field goal,13,28
7,3.0,8:48,Eagles,LeSean McCoy 1 yard rush (Alex Henery kick),13,35
8,3.0,4:21,Eagles,Alex Henery 28 yard field goal,13,38
9,4.0,14:40,Eagles,LeSean McCoy 33 yard rush (Alex Henery kick),13,45
10,4.0,9:40,Jets,Plaxico Burress 9 yard pass from Mark Sanchez (pass failed),19,45
