,Quarter,Time,Tm,Detail,SEA,KAN
0,1.0,12:05,Chiefs,Lawrence Tynes 38 yard field goal,0,3
1,1.0,5:11,Seahawks,D.J. Hackett 8 yard pass from Seneca Wallace (Josh Brown kick),7,3
2,1.0,0:25,Chiefs,Larry Johnson 3 yard rush (Lawrence Tynes kick),7,10
3,2.0,8:31,Chiefs,Lawrence Tynes 32 yard field goal,7,13
4,2.0,4:55,Seahawks,Jerramy Stevens 2 yard pass from Seneca Wallace (Josh Brown kick),14,13
5,2.0,0:45,Chiefs,Larry Johnson 9 yard pass from Damon Huard (Lawrence Tynes kick),14,20
6,3.0,6:22,Chiefs,Larry Johnson 2 yard rush (Lawrence Tynes kick),14,27
7,3.0,1:27,Seahawks,Kelly Herndon 61 yard defensive fumble return (Josh Brown kick),21,27
8,4.0,6:30,Seahawks,Darrell Jackson 49 yard pass from Seneca Wallace (Josh Brown kick),28,27
9,4.0,2:15,Chiefs,Larry Johnson 3 yard rush (Tony Gonzalez pass from Damon Huard),28,35
