,Quarter,Time,Tm,Detail,DET,SFO
0,1.0,6:18,49ers,Robbie Gould 45 yard field goal,0,3
1,1.0,2:45,Lions,Kenny Golladay 30 yard pass from Matthew Stafford (Matt Prater kick),7,3
2,2.0,12:07,49ers,Kendrick Bourne 4 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,10
3,2.0,4:55,49ers,Robbie Gould 42 yard field goal,7,13
4,2.0,0:03,Lions,Matt Prater 27 yard field goal,10,13
5,3.0,13:17,49ers,Garrett Celek 11 yard pass from Jimmy Garoppolo (Robbie Gould kick),10,20
6,3.0,8:46,Lions,Matt Prater 43 yard field goal,13,20
7,3.0,0:52,49ers,Matt Breida 66 yard rush (Robbie Gould kick),13,27
8,4.0,11:21,49ers,Robbie Gould 36 yard field goal,13,30
9,4.0,8:36,Lions,Marvin Jones 5 yard pass from Matthew Stafford (Matt Prater kick),20,30
10,4.0,3:27,Lions,Michael Roberts 15 yard pass from Matthew Stafford (Matt Prater kick),27,30
