,Quarter,Time,Tm,Detail,GNB,CAR
0,1.0,9:20,Panthers,Brandon LaFell 3 yard pass from Cam Newton (Olindo Mare kick),0,7
1,1.0,6:32,Panthers,Olindo Mare 20 yard field goal,0,10
2,2.0,14:48,Panthers,Olindo Mare 33 yard field goal,0,13
3,2.0,9:58,Packers,John Kuhn 1 yard rush (Mason Crosby kick),7,13
4,3.0,12:23,Packers,Greg Jennings 49 yard pass from Aaron Rodgers (Mason Crosby kick),14,13
5,3.0,10:22,Packers,Mason Crosby 37 yard field goal,17,13
6,3.0,5:43,Packers,Mason Crosby 19 yard field goal,20,13
7,3.0,0:57,Packers,Mason Crosby 34 yard field goal,23,13
8,4.0,10:05,Panthers,Olindo Mare 21 yard field goal,23,16
9,4.0,2:14,Packers,Jordy Nelson 84 yard pass from Aaron Rodgers (Mason Crosby kick),30,16
10,4.0,0:37,Panthers,Cam Newton 4 yard rush (Olindo Mare kick),30,23
