,Quarter,Time,Tm,Detail,DET,PHI
0,1.0,11:59,Eagles,Brian Westbrook 25 yard rush (David Akers kick),0,7
1,1.0,9:07,Lions,Kevin Jones 2 yard rush (Jason Hanson kick),7,7
2,1.0,3:41,Eagles,Brian Westbrook 5 yard rush (David Akers kick),7,14
3,1.0,3:04,Eagles,Kevin Curtis 68 yard pass from Donovan McNabb (David Akers kick),7,21
4,2.0,12:45,Eagles,Kevin Curtis 12 yard pass from Donovan McNabb (David Akers kick),7,28
5,2.0,11:32,Eagles,Kevin Curtis 43 yard pass from Donovan McNabb (David Akers kick),7,35
6,2.0,8:45,Lions,Shaun McDonald 11 yard pass from Jon Kitna (Jason Hanson kick),14,35
7,2.0,5:01,Lions,Roy Williams 91 yard pass from Jon Kitna (Jason Hanson kick),21,35
8,2.0,1:49,Eagles,Brian Westbrook 43 yard pass from Donovan McNabb (David Akers kick),21,42
9,3.0,2:24,Eagles,Correll Buckhalter 1 yard rush (David Akers kick),21,49
10,4.0,7:27,Eagles,Tony Hunt 1 yard rush (David Akers kick),21,56
