,Quarter,Time,Tm,Detail,ARI,NYJ
0,2.0,14:44,Jets,Laveranues Coles 12 yard pass from Brett Favre (Jay Feely kick),0,7
1,2.0,13:25,Jets,Darrelle Revis 32 yard interception return (Jay Feely kick),0,14
2,2.0,7:17,Jets,Laveranues Coles 34 yard pass from Brett Favre (Jay Feely kick),0,21
3,2.0,3:32,Jets,Jay Feely 20 yard field goal,0,24
4,2.0,0:10,Jets,Laveranues Coles 2 yard pass from Brett Favre (Jay Feely kick),0,31
5,2.0,0:00,Jets,Jay Feely 30 yard field goal,0,34
6,3.0,12:39,Cardinals,Edgerrin James 4 yard rush (Neil Rackers kick),7,34
7,3.0,5:41,Cardinals,Edgerrin James 2 yard rush (Edgerrin James run),15,34
8,3.0,2:50,Cardinals,Tim Hightower 1 yard rush (pass failed),21,34
9,4.0,11:50,Jets,Jerricho Cotchery 17 yard pass from Brett Favre (Jay Feely kick),21,41
10,4.0,9:49,Cardinals,Anquan Boldin 8 yard pass from Kurt Warner (Neil Rackers kick),28,41
11,4.0,7:26,Jets,Jerricho Cotchery 40 yard pass from Brett Favre (Jay Feely kick),28,48
12,4.0,4:49,Cardinals,Jerheme Urban 14 yard pass from Kurt Warner (Neil Rackers kick),35,48
13,4.0,1:54,Jets,Dustin Keller 24 yard pass from Brett Favre (Leon Washington run),35,56
