,Quarter,Time,Tm,Detail,OAK,TEN
0,1.0,6:47,Titans,Tyrone Calico 11 yard pass from Steve McNair (Joe Nedney kick failed),0,6
1,1.0,1:29,Raiders,Sebastian Janikowski 47 yard field goal,3,6
2,2.0,8:32,Titans,Joe Nedney 50 yard field goal,3,9
3,2.0,1:06,Raiders,Charlie Garner 46 yard pass from Rich Gannon (Sebastian Janikowski kick),10,9
4,2.0,0:00,Titans,Craig Hentrich 49 yard field goal,10,12
5,3.0,2:52,Titans,Craig Hentrich 34 yard field goal,10,15
6,4.0,13:51,Raiders,Sebastian Janikowski 47 yard field goal,13,15
7,4.0,7:51,Titans,Derrick Mason 3 yard pass from Steve McNair (Craig Hentrich kick),13,22
8,4.0,3:30,Raiders,Tim Brown 25 yard pass from Rich Gannon (Sebastian Janikowski kick),20,22
9,4.0,0:32,Titans,Craig Hentrich 33 yard field goal,20,25
