,Quarter,Time,Tm,Detail,CLE,MIN
0,1.0,9:13,Vikings,Adrian Peterson 2 yard rush (Blair Walsh kick),0,7
1,1.0,4:42,Browns,Josh Gordon 47 yard pass from Brian Hoyer (Billy Cundiff kick),7,7
2,2.0,14:55,Browns,Jordan Cameron 19 yard pass from Brian Hoyer (Billy Cundiff kick),14,7
3,2.0,10:12,Vikings,Christian Ponder 6 yard rush (Blair Walsh kick),14,14
4,2.0,6:07,Browns,Billy Cundiff 38 yard field goal,17,14
5,2.0,3:39,Browns,Jordan Cameron 11 yard pass from Spencer Lanning (Billy Cundiff kick),24,14
6,2.0,1:08,Vikings,Blair Walsh 43 yard field goal,24,17
7,3.0,2:36,Vikings,Christian Ponder 8 yard rush (Blair Walsh kick),24,24
8,4.0,10:47,Vikings,Blair Walsh 30 yard field goal,24,27
9,4.0,0:51,Browns,Jordan Cameron 7 yard pass from Brian Hoyer (Spencer Lanning kick),31,27
