,Quarter,Time,Tm,Detail,LAR,SEA
0,1.0,4:30,Seahawks,Mike Davis 6 yard rush (Sebastian Janikowski kick),0,7
1,1.0,2:00,Rams,Todd Gurley 2 yard rush (Cairo Santos kick),7,7
2,2.0,11:13,Rams,Cairo Santos 19 yard field goal,10,7
3,2.0,9:11,Seahawks,Tyler Lockett 39 yard pass from Russell Wilson (Sebastian Janikowski kick),10,14
4,2.0,6:02,Rams,Cooper Kupp 6 yard pass from Jared Goff (Cairo Santos kick),17,14
5,2.0,1:55,Seahawks,Sebastian Janikowski 52 yard field goal,17,17
6,3.0,10:34,Seahawks,David Moore 3 yard pass from Russell Wilson (Sebastian Janikowski kick),17,24
7,3.0,5:04,Rams,Todd Gurley 2 yard rush (Cairo Santos kick),24,24
8,3.0,1:35,Seahawks,David Moore 30 yard pass from Russell Wilson (Sebastian Janikowski kick),24,31
9,4.0,14:54,Rams,Todd Gurley 5 yard rush (Cairo Santos kick failed),30,31
10,4.0,6:05,Rams,Cairo Santos 39 yard field goal,33,31
