,Quarter,Time,Tm,Detail,DAL,PHI
0,1.0,11:37,Eagles,Brian Westbrook 5 yard rush (David Akers kick),0,7
1,1.0,9:59,Eagles,David Akers 27 yard field goal,0,10
2,1.0,4:11,Cowboys,Marion Barber III 2 yard rush (Mike Vanderjagt kick),7,10
3,2.0,10:30,Cowboys,DeMarcus Ware 69 yard defensive fumble return (Mike Vanderjagt kick),14,10
4,2.0,9:13,Eagles,Donovan McNabb 1 yard rush (David Akers kick),14,17
5,2.0,3:23,Cowboys,Drew Bledsoe 7 yard rush (Mike Vanderjagt kick),21,17
6,3.0,7:28,Eagles,Hank Baskett 87 yard pass from Donovan McNabb (David Akers kick),21,24
7,4.0,11:14,Cowboys,Mike Vanderjagt 39 yard field goal,24,24
8,4.0,9:13,Eagles,Reggie Brown 40 yard pass from Donovan McNabb (David Akers kick),24,31
9,4.0,0:16,Eagles,Lito Sheppard 102 yard interception return (David Akers kick),24,38
