,Quarter,Time,Tm,Detail,CAR,GNB
0,1.0,8:33,Panthers,DeAngelo Williams 1 yard rush (John Kasay kick),7,0
1,2.0,12:45,Packers,Mason Crosby 32 yard field goal,7,3
2,2.0,9:43,Panthers,Jake Delhomme 1 yard rush (John Kasay kick),14,3
3,2.0,3:15,Packers,Donald Driver 6 yard pass from Aaron Rodgers (Mason Crosby kick),14,10
4,2.0,0:34,Panthers,DeAngelo Williams 1 yard rush (John Kasay kick),21,10
5,3.0,13:57,Packers,Mason Crosby 44 yard field goal,21,13
6,3.0,5:17,Packers,Donald Lee 5 yard pass from Aaron Rodgers (Greg Jennings pass from Aaron Rodgers ),21,21
7,4.0,13:43,Packers,Greg Jennings 21 yard pass from Aaron Rodgers (Mason Crosby kick),21,28
8,4.0,11:10,Panthers,DeAngelo Williams 1 yard rush (John Kasay kick),28,28
9,4.0,1:57,Packers,Mason Crosby 19 yard field goal,28,31
10,4.0,1:30,Panthers,DeAngelo Williams 1 yard rush (John Kasay kick),35,31
