,Quarter,Time,Tm,Detail,GNB,CHI
0,1.0,11:55,Packers,Ahman Green 60 yard rush (Ryan Longwell kick),7,0
1,1.0,2:32,Packers,Ryan Longwell 34 yard field goal,10,0
2,1.0,0:19,Packers,Ahman Green 6 yard rush (Ryan Longwell kick),17,0
3,2.0,9:07,Bears,Paul Edinger 31 yard field goal,17,3
4,2.0,3:51,Packers,William Henderson 14 yard pass from Brett Favre (Ryan Longwell kick),24,3
5,2.0,0:48,Bears,Paul Edinger 38 yard field goal,24,6
6,3.0,0:02,Bears,Paul Edinger 41 yard field goal,24,9
7,4.0,12:36,Bears,Anthony Thomas 67 yard rush (Paul Edinger kick),24,16
8,4.0,8:51,Packers,Javon Walker 9 yard pass from Brett Favre (Ryan Longwell kick),31,16
9,4.0,4:21,Packers,Bubba Franks 1 yard pass from Brett Favre (Ryan Longwell kick),38,16
10,4.0,1:28,Bears,Kordell Stewart 1 yard rush (Paul Edinger kick),38,23
