,Quarter,Time,Tm,Detail,NOR,ATL
0,1,6:20,Falcons,Matt Bryant 36 yard field goal,0,3
1,1,2:48,Saints,John Kasay 52 yard field goal,3,3
2,2,9:25,Falcons,Matt Bryant 29 yard field goal,3,6
3,2,2:34,Saints,Jimmy Graham 21 yard pass from Drew Brees (John Kasay kick),10,6
4,3,5:08,Falcons,Jason Snelling 21 yard pass from Matt Ryan (Matt Bryant kick),10,13
5,3,1:31,Saints,Robert Meachem 33 yard pass from Drew Brees (John Kasay kick),17,13
6,4,11:57,Saints,John Kasay 48 yard field goal,20,13
7,4,7:13,Saints,John Kasay 44 yard field goal,23,13
8,4,4:13,Falcons,Tony Gonzalez 20 yard pass from Matt Ryan (Matt Bryant kick),23,20
9,4,0:00,Falcons,Matt Bryant 27 yard field goal,23,23
10,OT,8:25,Saints,John Kasay 26 yard field goal,26,23
