,Quarter,Time,Tm,Detail,JAX,HOU
0,2.0,13:36,Jaguars,Jason Myers 26 yard field goal,3,0
1,2.0,11:16,Jaguars,Jason Myers 50 yard field goal,6,0
2,2.0,8:32,Jaguars,Blake Bortles 1 yard rush (Jason Myers kick),13,0
3,2.0,1:35,Texans,"Safety, Neal Sterling penalty in end zone",13,2
4,2.0,0:49,Texans,Nick Novak 39 yard field goal,13,5
5,3.0,7:02,Texans,Nick Novak 45 yard field goal,13,8
6,3.0,6:50,Jaguars,Marqise Lee 100 yard kickoff return (Jason Myers kick),20,8
7,3.0,0:11,Texans,Nick Novak 43 yard field goal,20,11
8,4.0,7:54,Texans,Nick Novak 27 yard field goal,20,14
9,4.0,2:51,Texans,Lamar Miller 1 yard rush (Nick Novak kick),20,21
