,Quarter,Time,Tm,Detail,CLE,MIA
0,1,10:16,Dolphins,DeVante Parker 26 yard pass from Ryan Tannehill (Andrew Franks kick),0,7
1,2,13:32,Browns,Cody Parkey 46 yard field goal,3,7
2,2,6:47,Browns,Briean Boddy-Calhoun 27 yard interception return (Cody Parkey kick),10,7
3,2,1:57,Dolphins,Andrew Franks 37 yard field goal,10,10
4,2,0:42,Browns,Cody Parkey 48 yard field goal,13,10
5,3,5:17,Dolphins,Jarvis Landry 42 yard pass from Ryan Tannehill (Andrew Franks kick),13,17
6,4,14:17,Dolphins,Damien Williams 10 yard pass from Ryan Tannehill (Andrew Franks kick),13,24
7,4,10:12,Browns,Terrelle Pryor 3 yard rush (Gary Barnidge pass from Cody Kessler),21,24
8,4,3:14,Browns,Cody Parkey 38 yard field goal,24,24
9,OT,8:26,Dolphins,Jay Ajayi 11 yard rush,24,30
