,Quarter,Time,Tm,Detail,CAR,ATL
0,1.0,7:14,Falcons,Jacob Tamme 4 yard pass from Matt Ryan (Matt Bryant kick),0,7
1,1.0,0:17,Falcons,Devonta Freeman 13 yard rush (Matt Bryant kick),0,14
2,2.0,11:31,Panthers,Kurt Coleman 8 yard interception return (Graham Gano kick),7,14
3,2.0,5:56,Falcons,Matt Bryant 28 yard field goal,7,17
4,2.0,3:07,Panthers,Graham Gano 54 yard field goal,10,17
5,3.0,9:13,Falcons,Austin Hooper 42 yard pass from Matt Ryan (Matt Bryant kick),10,24
6,3.0,4:57,Falcons,Aldrick Robinson 35 yard pass from Matt Ryan (Matt Bryant kick),10,31
7,4.0,13:19,Falcons,Matt Bryant 53 yard field goal,10,34
8,4.0,11:42,Panthers,Kelvin Benjamin 6 yard pass from Cam Newton (Cam Newton run),18,34
9,4.0,3:58,Panthers,Greg Olsen 14 yard pass from Derek Anderson (Greg Olsen pass from Derek Anderson ),26,34
10,4.0,3:45,Falcons,Julio Jones 75 yard pass from Matt Ryan (Matt Bryant kick),26,41
11,4.0,1:53,Panthers,Corey Brown 16 yard pass from Derek Anderson (Graham Gano kick),33,41
12,4.0,1:14,Falcons,Robert Alford 30 yard interception return (Matt Bryant kick),33,48
