,Quarter,Time,Tm,Detail,PIT,TEN
0,1,11:01,Titans,Steve McNair 8 yard rush (Joe Nedney kick),0,7
1,1,0:17,Titans,Eddie George 1 yard rush (Joe Nedney kick),0,14
2,2,9:29,Steelers,Hines Ward 8 yard pass from Tommy Maddox (Jeff Reed kick),7,14
3,2,6:47,Steelers,Jeff Reed 30 yard field goal,10,14
4,2,0:00,Steelers,Jeff Reed 39 yard field goal,13,14
5,3,14:37,Steelers,Amos Zereoue 31 yard rush (Jeff Reed kick),20,14
6,3,9:37,Titans,Frank Wycheck 7 yard pass from Steve McNair (Joe Nedney kick),20,21
7,3,4:38,Titans,Erron Kinney 2 yard pass from Steve McNair (Joe Nedney kick),20,28
8,4,10:09,Steelers,Hines Ward 21 yard pass from Tommy Maddox (Plaxico Burress pass from Hines Ward ),28,28
9,4,8:30,Steelers,Jeff Reed 40 yard field goal,31,28
10,4,5:40,Titans,Joe Nedney 42 yard field goal,31,31
11,OT,12:45,Titans,Joe Nedney 26 yard field goal,31,34
